stage,sample_uid,observation_uid,tag_id,camera_role,measured_distance_m,predicted_distance_m,distance_residual_m,normalized_distance_residual,measured_angle_deg,predicted_angle_deg,angle_residual_deg,normalized_angle_residual,yaw_used,measured_yaw_deg,predicted_yaw_deg,yaw_residual_deg,normalized_yaw_residual,combined_score
pass1,main29_s006,main29_s006_o033,45,front,3.113,3.120833541387212,0.00783354138721215,0.156670827744243,18.5,18.71405461964082,0.2140546196408195,0.07135153988027317,True,28.6,25.038160284708056,-3.5618397152919385,-1.1872799050973128,0.6926447775392609
pass1,main29_s006,main29_s006_o034,46,front,2.856,2.8516367838942602,-0.004363216105739642,-0.08726432211479285,-1.0,1.1270866137309667,2.1270866137309667,0.7090288712436555,False,,,,,0.5051420603014595
pass1,main29_s006,main29_s006_o035,47,front,2.909,2.8864690039877483,-0.022530996012251503,-0.45061992024503006,-18.3,-17.919851489403413,0.38014851059659804,0.12671617019886602,True,-16.3,-11.595745824336177,4.704254175663834,1.5680847252212782,0.944811269651916
pass1,main29_s006,main29_s006_o036,48,front,3.183,3.21172859085078,0.02872859085078039,0.5745718170156078,-28.7,-34.63530237135075,-5.935302371350758,-1.3989641850582393,False,,,,,1.0694001973032081
pass1,main29_s006,main29_s006_o037,37,rear,2.203,2.2141535588700805,0.011153558870080627,0.22307117740161253,8.8,9.019359215168578,0.21935921516856638,0.07311973838952213,False,,,,,0.16599284070328732
pass1,main29_s007,main29_s007_o041,45,front,4.022,4.054277808886694,0.03227780888669418,0.6455561777338836,26.0,24.76414539320399,-1.2358546067960106,-0.29129372434203116,True,22.5,18.149946428597787,-4.3500535714022135,-1.0253174596210883,0.7194606094047761
pass1,main29_s007,main29_s007_o042,46,front,3.854,3.8651625577533837,0.011162557753383595,0.2232511550676719,11.1,11.243132751012809,0.1431327510128142,0.0477109170042714,False,,,,,0.16142708855771104
pass1,main29_s007,main29_s007_o043,47,front,3.923,3.9050377077471663,-0.017962292252833745,-0.3592458450566749,-4.1,-2.789943473873109,1.3100565261268855,0.43668550870896183,False,,,,,0.3998448516030244
pass1,main29_s007,main29_s007_o044,48,front,4.139,4.16436950616569,0.025369506165689337,0.5073901233137867,-16.2,-15.698842109409043,0.501157890590946,0.167052630196982,True,-21.6,-22.313041074015246,-0.7130410740152513,-0.23768035800508377,0.3375614862873301
pass1,main29_s007,main29_s007_o045,49,front,4.615,4.604127477965943,-0.010872522034056864,-0.18193209147012673,-24.0,-26.58612370547803,-2.5861237054780304,-0.8620412351593435,True,-35.5,-33.20032267008423,2.2996773299157667,0.7665591099719222,0.6742470482206273
pass1,main29_s007,main29_s007_o046,38,rear,1.105,1.147545688044015,0.04254568804401493,0.8509137608802986,-10.4,-8.021532631209539,2.378467368790467,0.5606101351008882,True,-14.2,-14.635731595815741,-0.4357315958157528,-0.10270292205951824,0.5912940166090114
pass1,main29_s008,main29_s008_o048,38,front,4.386,4.372028258927153,-0.013971741072847266,-0.2794348214569453,8.7,9.449711897054186,0.7497118970541976,0.24990396568473253,True,-18.8,-17.37292333060975,1.4270766693902601,0.4756922231300867,0.34967551751782444
pass1,main29_s008,main29_s008_o049,39,front,4.696,4.749345581858441,0.053345581858441626,0.8926423186631894,-3.3,-1.708272890850509,1.5917271091495024,0.5305757030498341,True,-24.5,-28.53090811851439,-4.03090811851439,-1.3436360395047966,0.980421455700108
pass1,main29_s008,main29_s008_o050,41,front,3.788,3.829267961129611,0.0412679611296114,0.8253592225922279,-18.9,-18.853028921621217,0.04697107837878889,0.015657026126262963,True,39.7,44.324335850714874,4.6243358507148855,1.5414452835716286,1.0095405805002564
pass1,main29_s008,main29_s008_o051,42,front,3.232,3.2259284013424763,-0.006071598657523936,-0.12143197315047871,-26.6,-30.734353486587764,-4.13435348658777,-0.9744764620628193,False,,,,,0.6943882556674212
pass1,main29_s008,main29_s008_o052,48,rear,0.901,0.9580367305020584,0.057036730502058375,1.1407346100411675,-5.9,-6.185409557761545,-0.28540955776153965,-0.09513651925384654,True,-33.4,-33.008044785425454,0.3919552145745513,0.1306517381915171,0.665180748502234
pass1,main29_s009,main29_s009_o053,34,front,3.97,3.98183473865725,0.011834738657249932,0.23669477314499865,14.1,13.86980168725242,-0.23019831274757507,-0.07673277091585835,True,34.5,38.05879490956556,3.558794909565563,1.1862649698551877,0.6997944727971009
pass1,main29_s009,main29_s009_o054,35,front,3.478,3.4745644135110894,-0.0034355864889108467,-0.06871172977821693,0.2,1.3446690220814617,1.144669022081473,0.3815563406938243,True,25.5,25.53366224439469,0.03366224439469079,0.011220748131563596,0.2239288935662453
pass1,main29_s009,main29_s009_o055,36,front,2.729,2.7210791409904034,-0.007920859009596715,-0.1584171801919343,-13.6,-12.66353228367609,0.9364677163239037,0.31215590544130123,False,,,,,0.24752506164209148
pass1,main29_s009,main29_s009_o056,37,front,3.117,3.16028680483033,0.043286804830330095,0.8657360966066019,-26.7,-31.411475416487633,-4.7114754164876445,-1.1105054054640424,False,,,,,0.9956709407561548
pass1,main29_s009,main29_s009_o057,46,rear,2.266,2.2595845281576126,-0.0064154718423874435,-0.12830943684774887,11.5,11.370349739092262,-0.1296502609077379,-0.030558859556822207,False,,,,,0.09326616610968856
pass1,main29_s009,main29_s009_o058,47,rear,1.839,1.873905931150551,0.03490593115055107,0.6981186230110215,-14.2,-12.986652474660218,1.2133475253397705,0.28598875436788934,False,,,,,0.5334600169739535
pass1,main29_s010,main29_s010_o060,45,front,3.588,3.609531065866753,0.021531065866752908,0.43062131733505815,22.7,23.22566124402624,0.5256612440262529,0.17522041467541763,True,42.2,38.34772170330936,-3.852278296690656,-1.2840927655635521,0.7884649946224749
